sector,stage1,stage2,stage3,stockName,stockCode
전기차 ,배터리 ,소재 ,전해액,"천보, 동화기업, 엔켐, 켐트로스, 티엔엔터테인먼트","천보 (278280), 동화기업 (025900), 엔켐 (348370), 켐트로스 (220260), 티엔엔터테인먼트 (131100)"
전기차 ,배터리 ,소재 ,분리막,"SK아이이테크놀로지, 더블유씨피","SK아이이테크놀로지 (361610), 더블유씨피 (393890)"
전기차 ,배터리 ,소재 ,"캡, 팩","상아프론테크, 신흥에스이씨, 상신이디피, 나라엠앤디, 삼기이브이, 에이에프더블류, 알멕","상아프론테크 (089980), 신흥에스이씨 (243840), 상신이디피 (091580), 나라엠앤디 (051490), 삼기이브이, 에이에프더블류 (312610), 알멕 (354320)"
전기차 ,배터리 ,소재 ,기타,"테이팩스, 탑머티리얼, 신성에스티, 이닉스","테이팩스 (055490), 탑머티리얼 (360070), 신성에스티 (416180), 이닉스 (452400)"
전기차 ,배터리 ,장비,열처리,원준,원준 (382840)
전기차 ,배터리 ,장비,전극 ,"피엔티, 씨아이메스, 필옵틱스, 강원에너지, 티에스아이, 지아이텍, 에이치와이티씨, 윤성에프앤씨, 제일엠맨에스","피엔티 (137400), 씨아이메스, 필옵틱스 (161580), 강원에너지 (114190), 티에스아이 (277880), 지아이텍 (382480), 에이치와이티씨 (148930), 윤성에프앤씨 (372170), 제일엠맨에스"
전기차 ,배터리 ,장비,조립,"하나기술, 엠플러스, 유일에너테크, 나인테크, 필에너지, 한빛레이저, 피엔티엠에스","하나기술 (299030), 엠플러스 (259630), 유일에너테크 (340930), 나인테크 (267320), 필에너지 (378340), 한빛레이저 (452190), 피엔티엠에스 (257370)"
전기차 ,배터리 ,장비,테스트,"엔시스, 브이원텍, 이노메트리, 자비스, 민테크, 아이비젼웍스","엔시스 (333620), 브이원텍 (251630), 이노메트리 (302430), 자비스 (254120), 민테크 (452200), 아이비젼웍스 (469750)"
전기차 ,배터리 ,장비,활성화,"원익피앤이, 에이프로","원익피앤이 (217820), 에이프로 (262260)"
전기차 ,배터리 ,장비,자동화,"코윈테크, 케이엔에스, 엠오티","코윈테크 (282880), 케이엔에스 (432470), 엠오티 (413390)"
전기차 ,배터리 ,부품,,"한중엔시에스, 와이엠텍, 성우","한중엔시에스 (107640), 와이엠텍 (273640), 성우 (458650)"
전기차 ,배터리 ,리사이클링,,"성일하이텍, 코스모화학, 새빗켐","성일하이텍 (365340), 코스모화학 (005420), 새빗켐 (107600)"
전기차 ,수소전기차,,,일진하이솔루스,일진하이솔루스 (271940)
유통,용품,,,오토앤,오토앤 (353590)
유통,중고차,,,케이카,케이카 (381970)
유통,렌털,,,"롯데렌탈, 레드캡투어","롯데렌탈 (089860), 레드캡투어 (038390)"
유통,수입차 ,,,"코오롱모빌리티그룹, 도이치모터스, CNH","코오롱모빌리티그룹 (450140), 도이치모터스 (067990), CNH"
특수차,,,,"KR모터스, 이엔플러스, 오텍","KR모터스 (000040), 이엔플러스 (074610), 오텍 (067170)"
선박,,,,"삼성중공업, 한화오션, HD현대중공업, HD한국조선해양, HD현대미포","삼성중공업 (010140), 한화오션 (042660), HD현대중공업 (329180), HD한국조선해양 (009540), HD현대미포 (010620)"
기자재 ,엔진,,,"HD현대마린솔루션, 한화엔진, HD현대마린엔진, STX엔진, 케이에스피, 케이프, 인화정공, 에스앤더블류","HD현대마린솔루션 (443060), 한화엔진 (082740), HD현대마린엔진 (071970), STX엔진 (077970), 케이에스피 (073010), 케이프 (064820), 인화정공 (101930), 에스앤더블류 (103230)"
기자재 ,설비,소화장치,,엔케이,엔케이 (085310)
기자재 ,설비,조명,,대양전기공업,대양전기공업 (108380)
기자재 ,설비,통신장비,,삼영이엔씨,삼영이엔씨 (065570)
기자재 ,설비,크레인,,KS인더스트리,KS인더스트리 (101000)
기자재 ,설비,평형수 처리장치,,한라IMS,한라IMS (092460)
기자재 ,설비,블록,,"현대힘스, 메디콕스","현대힘스 (460930), 메디콕스 (054180)"
기자재 ,설비,보냉재,,"한국카본, 동성화인텍","한국카본 (017960), 동성화인텍 (033500)"
기자재 ,설비,파이프스풀,,"동방선기, 일승","동방선기 (099410), 일승 (333430)"
기자재 ,설비,데크하우스 ,,"세진중공업, 오리엔탈정공","세진중공업 (075580), 오리엔탈정공 (014940)"
제품,가전,,,"LG전자, 에브리봇, 하츠, 파세코, 위닉스, LK삼양, 남성, 아남전자, 더테크놀로지, 신일전자, PN풍년, 자이글, 인터엠, 에이디칩스","LG전자 (066570), 에브리봇 (270660), 하츠 (066130), 파세코 (037070), 위닉스 (044340), LK삼양 (225190), 남성 (004270), 아남전자 (008700), 더테크놀로지 (043090), 신일전자 (002700), PN풍년 (024940), 자이글 (234920), 인터엠 (017250), 에이디칩스 (054630)"
제품,산업,콘덴서,,"삼성전기, LS머트리얼즈, 삼화콘덴서, 삼화전기, 코칩, 삼영전자, 뉴인텍, 삼영에스앤씨, 성문전자, 비나텍, 코칩","삼성전기 (009150), LS머트리얼즈 (417200), 삼화콘덴서 (001820), 삼화전기 (009470), 코칩 (126730), 삼영전자 (005680), 뉴인텍 (012340), 삼영에스앤씨 (361670), 성문전자 (014910), 비나텍 (126340), 코칩 (126730)"
제품,산업,PCB,,"이수페타시스, 대덕전자, 심텍, 코리아써키트, 와이엠티, 티엘비, 아비코전자, 타이거일렉, 화인써키트, 태성, 현우산업, 케이피엠테크, 디에이피, 에이엔피","이수페타시스 (007660), 대덕전자 (353200), 심텍 (222800), 코리아써키트 (007810), 와이엠티 (251370), 티엘비 (356860), 아비코전자 (036010), 타이거일렉 (219130), 화인써키트 (127980), 태성 (323280), 현우산업 (092300), 케이피엠테크 (042040), 디에이피 (066900), 에이엔피 (015260)"
제품,산업,검사 장비,,"한울반도체, 고영, 퓨런티어, 펨트론, 코셈, 와이제이링크","한울반도체 (320000), 고영 (098460), 퓨런티어 (370090), 펨트론 (168360), 코셈 (360350), 와이제이링크 (209640)"
제품,산업,자동화 기기,,"케이씨티, 씨아이테크","케이씨티 (089150), 씨아이테크 (004920)"
